iter	Passed	Remaining
0	1	153
1	2	141
2	4	134
3	5	123
4	6	122
5	7	120
6	8	119
7	10	117
8	11	116
9	12	116
10	14	114
11	15	112
12	16	111
13	17	109
14	19	108
15	20	106
16	21	105
17	22	104
18	24	102
19	25	101
20	26	100
21	27	98
22	28	96
23	29	94
24	30	92
25	31	90
26	32	88
27	33	87
28	35	85
29	36	84
30	37	82
31	38	81
32	39	79
33	40	78
34	41	76
35	42	75
36	43	74
37	44	72
38	45	71
39	46	70
40	47	68
41	48	66
42	49	65
43	50	63
44	51	62
45	51	60
46	53	59
47	54	58
48	55	57
49	56	56
50	57	55
51	58	53
52	59	52
53	60	51
54	61	50
55	62	48
56	63	47
57	64	46
58	65	45
59	66	44
60	67	43
61	68	41
62	69	40
63	70	39
64	71	38
65	73	37
66	74	36
67	74	35
68	75	34
69	76	32
70	77	31
71	78	30
72	79	29
73	80	28
74	81	27
75	82	26
76	83	25
77	84	23
78	85	22
79	86	21
80	87	20
81	88	19
82	89	18
83	90	17
84	91	16
85	92	15
86	93	13
87	94	12
88	95	11
89	96	10
90	97	9
91	98	8
92	99	7
93	100	6
94	101	5
95	102	4
96	103	3
97	104	2
98	105	1
99	106	0
